FirstName,LastName,Email,Phone,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry
John,Doe,john.doe@example.com,(555) 555-1212,123 Main St,San Francisco,CA,94111,USA
Jane,Doe,jane.doe@example.com,(555) 555-1212,456 2nd St,San Francisco,CA,94107,USA
Bob,Smith,bob.smith@example.com,(555) 555-1212,789 Howard St,San Francisco,CA,94103,USA
Alice,Johnson,alice.johnson@example.com,(555) 555-1212,101 Market St,San Francisco,CA,94105,USA
David,Williams,david.williams@example.com,(555) 555-1212,1 California St,San Francisco,CA,94111,USA
Emily,Brown,emily.brown@example.com,(555) 555-1212,100 Pine St,San Francisco,CA,94111,USA
Michael,Jones,michael.jones@example.com,(555) 555-1212,50 Fremont St,San Francisco,CA,94105,USA
Sarah,Miller,sarah.miller@example.com,(555) 555-1212,1 Sansome St,San Francisco,CA,94104,USA
Robert,Davis,robert.davis@example.com,(555) 555-1212,555 Market St,San Francisco,CA,94105,USA
Jessica,Garcia,jessica.garcia@example.com,(555) 555-1212,101 California St,San Francisco,CA,94111,USA
William,Rodriguez,william.rodriguez@example.com,(555) 555-1212,1 Montgomery St,San Francisco,CA,94104,USA
Ava,Hernandez,ava.hernandez@example.com,(555) 555-1212,2 Embarcadero Center,San Francisco,CA,94111,USA
James,Smith,james.smith@example.com,(555) 555-1212,1 Market St,San Francisco,CA,94105,USA
Olivia,Johnson,olivia.johnson@example.com,(555) 555-1212,100 California St,San Francisco,CA,94111,USA
Liam,Williams,liam.williams@example.com,(555) 555-1212,101 Montgomery St,San Francisco,CA,94104,USA
Sophia,Brown,sophia.brown@example.com,(555) 555-1212,1 Front St,San Francisco,CA,94111,USA
Benjamin,Jones,benjamin.jones@example.com,(555) 555-1212,1 Dr Carlton B Goodlett Pl,San Francisco,CA,94102,USA
Isabella,Miller,isabella.miller@example.com,(555) 555-1212,1 Yerba Buena Ln,San Francisco,CA,94103,USA
Mason,Davis,mason.davis@example.com,(555) 555-1212,1 The Embarcadero,San Francisco,CA,94111,USA
Charlotte,Garcia,charlotte.garcia@example.com,(555) 555-1212,1 Telegraph Hill Blvd,San Francisco,CA,94133,USA
Ethan,Rodriguez,ethan.rodriguez@example.com,(555) 555-1212,1 Ferry Building,San Francisco,CA,94111,USA
Amelia,Hernandez,amelia.hernandez@example.com,(555) 555-1212,1 Fort Mason,San Francisco,CA,94123,USA
Daniel,Smith,daniel.smith@example.com,(555) 555-1212,1 Presidio Blvd,San Francisco,CA,94129,USA
Mia,Johnson,mia.johnson@example.com,(555) 555-1212,1 Palace of Fine Arts,San Francisco,CA,94123,USA
Logan,Williams,logan.williams@example.com,(555) 555-1212,1 Lombard St,San Francisco,CA,94111,USA
Chloe,Brown,chloe.brown@example.com,(555) 555-1212,1 Coit Tower,San Francisco,CA,94133,USA
Carter,Jones,carter.jones@example.com,(555) 555-1212,1 Painted Ladies,San Francisco,CA,94117,USA
Madison,Miller,madison.miller@example.com,(555) 555-1212,1 Alamo Square,San Francisco,CA,94117,USA
Aiden,Davis,aiden.davis@example.com,(555) 555-1212,1 Golden Gate Park,San Francisco,CA,94122,USA
Avery,Garcia,avery.garcia@example.com,(555) 555-1212,1 Haight-Ashbury,San Francisco,CA,94117,USA
Jackson,Rodriguez,jackson.rodriguez@example.com,(555) 555-1212,1 Castro District,San Francisco,CA,94114,USA
Ella,Hernandez,ella.hernandez@example.com,(555) 555-1212,1 Fisherman's Wharf,San Francisco,CA,94133,USA
Jacob,Smith,jacob.smith@example.com,(555) 555-1212,1 Chinatown,San Francisco,CA,94108,USA
Lily,Johnson,lily.johnson@example.com,(555) 555-1212,1 Japantown,San Francisco,CA,94115,USA
Owen,Williams,owen.williams@example.com,(555) 555-1212,1 North Beach,San Francisco,CA,94133,USA
Luna,Brown,luna.brown@example.com,(555) 555-1212,1 Russian Hill,San Francisco,CA,94109,USA
Elijah,Jones,elijah.jones@example.com,(555) 555-1212,1 Pacific Heights,San Francisco,CA,94115,USA
Aria,Miller,aria.miller@example.com,(555) 555-1212,1 Hayes Valley,San Francisco,CA,94102,USA
Grayson,Davis,grayson.davis@example.com,(555) 555-1212,1 Mission District,San Francisco,CA,94110,USA
Scarlett,Garcia,scarlett.garcia@example.com,(555) 555-1212,1 Dogpatch,San Francisco,CA,94107,USA
